단어,카테고리,등급,뜻풀이
만신창이,고사성어,3,몸과 마음이 매우 지치거나 상처투성이가 되었다
만유인력,과학,3,질량을 가진 모든 물체가 서로 끌어당기는 힘.
만인지적,고사성어,4,만 명의 적을 혼자서도 당해낼 만한 용맹함
맛보기,일상,2,맛을 볼 수 있게 조금 내놓은 음식.
망고,일상,1,타원형에 과육이 노랗고 부드러우며 단맛이 나는 열대 과일.
망원경,과학,2,멀리 있는 물체를 확대하여 크게 보이게 하는 기구
맞벌이,경제,2,부부가 둘 다 직업을 가지고 돈을 벎. 또는 그런 일.
매각,경제,3,재산이나 큰 물건을 팔아넘김.
매도,경제,3,물건의 소유권을 다른 사람에게 팔아넘김.
매도인,경제,3,물건의 소유권을 팔아서 다른 사람에게 넘기는 사람.
매매,경제,3,물건을 팔고 사는 일.
매매차익,경제,2,자산을 사고팔아 얻는 이익
매몰비용,경제,3,이미 지출되어 회수할 수 없는 비용
매물,경제,3,팔려고 내놓은 물건.
매상,경제,3,상품을 파는 일.
매상액,경제,3,일정 기간 동안 상품 등을 팔아서 번 돈.
매수,경제,3,주식이나 부동산 등을 사들임.
매수인,경제,3,물건의 소유권을 사서 다른 사람에게 넘겨받는 사람.
매입,경제,3,물건 등을 사들임.
매장,경제,2,물건을 파는 곳.
매점,경제,2,어떤 기관이나 시설 안에서 물건을 파는 작은 상점.
매직펜,일상,2,잉크가 굵은 심 끝으로 스며 나오게 해서 쓰는 필기도구.
매출,경제,3,물건을 파는 일.
매출액,경제,3,물건을 팔아 생긴 금액.
매파,경제,3,물가 안정을 중시하여 금리 인상을 선호하는 그룹
매표,경제,2,차표나 입장권 등의 표를 삼.
맥스웰,과학,4,전자기학을 통합하여 방정식을 정립한 물리학자
머리,일상,1,사람이나 동물의 몸에서 얼굴과 머리털이 있는 부분을 모두 포함한 목 위의 부분.
머리카락,일상,1,머리털 하나하나.
머스터드,일상,2,"황갈색의 서양 겨자. 또는 그 열매로 만든, 요리에 곁들여 먹는 향신료."
먹물,일상,2,벼루에 먹을 갈아 만든 검은 물.
메뉴판,일상,2,음식점에서 파는 음식의 종류와 가격을 적은 판.
메뚜기,일상,2,뒷다리가 발달하여 잘 뛰어다니는 누런 녹색 또는 누런 갈색의 곤충.
메밀,일상,2,"늦여름부터 초가을 사이에 흰 꽃이 피고, 검은빛의 세모난 열매는 가루를 내어 국수나 묵을 만들어 먹는 곡식."
메스,과학,3,수술이나 해부를 하는 데 쓰는 칼.
메시지,일상,1,어떤 사실을 알리거나 주장하거나 경고하기 위해 특별히 전하는 말.
메신저,일상,2,"물건이나 지시, 명령 등을 전해 주는 사람."
메커니즘,과학,3,사물의 작용 원리나 구조.
멜론,일상,1,"동그랗고 보통 녹색이며 겉에 그물 모양의 무늬가 있는, 향기가 좋고 단맛이 나는 과일."
멤버,일상,2,조직이나 단체를 구성하고 있는 사람.
면도,일상,2,얼굴이나 몸에 난 수염이나 잔털을 깎음.
면세,경제,3,세금을 면제하는 것.
면세점,경제,3,"공항이나 시내에 있는, 세금이 면제된 상품을 파는 가게."
면역,과학,3,외부 침입자로부터 자신을 방어하는 체계
면적,일상,2,일정한 평면이나 곡면이 차지하는 크기.
면허,일상,2,특정 기술에 대해 국가에서 인정하는 자격.
멸종,과학,2,생물 종이 지구상에서 완전히 사라짐
명도소송,경제,3,점유자가 건물을 비워주지 않을 때 하는 소송
명명백백,고사성어,4,거짓 없이 매우 분명하고 뚜렷하다
명세,경제,3,어떤 일에 관련된 자세한 내용이나 구체적인 항목.
명세서,경제,2,"주로 물품이나 금액의 내용이나 항목, 수량 등을 자세하고 구체적으로 적은 문서."
명실상부,고사성어,3,이름과 실질이 서로 잘 부합하는 상태
명절,일상,1,설이나 추석 등 해마다 일정하게 돌아와 전통적으로 즐기거나 기념하는 날.
명품,경제,3,뛰어나거나 이름난 상품이나 작품.
모과,일상,2,향기가 좋아 설탕에 절여 먹거나 차를 달여 먹거나 한약의 재료로 쓰는 타원형의 노란 열매.
모금,경제,2,기부금이나 성금 등을 모음.
모기,일상,1,"사람이나 가축의 피를 빨아 먹는, 날아다니는 작은 곤충."
모기업,경제,3,"한 기업에서 다른 기업이 갈라져 나왔을 때, 모체가 되는 원래의 기업."
모기지론,경제,3,주택을 담보로 빌리는 장기 대출
모래,일상,2,자연의 힘으로 잘게 부스러진 돌의 알갱이.
모범택시,일상,2,일반 택시보다 시설이 좋고 더 나은 서비스를 제공하며 요금이 비싼 택시.
모임,일상,1,어떤 일을 하기 위해 여러 사람이 모이는 일.
모터,과학,2,증기나 물 또는 연료의 에너지로 움직이는 힘을 일으키는 기계.
모터보트,과학,3,연료에서 나오는 에너지로 모터가 움직여 앞으로 나아가는 배.
목걸이,일상,1,보석 등을 줄에 꿰어서 목에 거는 장식품.
목도리,일상,1,추위를 막기 위하여 목에 두르는 것.
목돈,경제,3,액수가 큰 돈.
목발,일상,2,다리가 불편한 사람이 겨드랑이에 끼고 걷는 지팡이.
목소리,일상,1,사람의 목구멍에서 나는 소리.
몰락,경제,3,재산을 잃거나 권력이 약해져서 보잘것없이 됨.
몰수,경제,3,죄를 지은 사람에게서 범죄 행위에 제공하거나 범죄 행위의 결과로 얻은 재산을 강제로 빼앗는 일.
몸살,일상,1,"몸이 몹시 피로할 때 걸리는, 온몸이 쑤시고 기운이 없고 열이 나는 병."
무게,일상,1,물건의 무거운 정도.
무급,경제,3,일에 대한 대가를 받지 않음.
무기물,과학,4,"물, 흙, 공기 등 생명이 없는 물질."
무당벌레,일상,2,작고 둥근 몸과 붉은 바탕에 검은 점 무늬의 단단한 날개를 가진 곤충.
무디스,경제,3,세계 3대 신용평가기관 중 하나
무료,경제,1,요금이 없음.
무료입장,경제,2,"극장, 전시장, 운동장 등에 돈을 내지 않고 그냥 들어감."
무보수,경제,3,어떤 일에 대한 대가가 없음.
무상,경제,3,어떤 일이나 물건에 대한 값을 치르거나 받지 않음.
무상증자,경제,3,자본잉여금을 주주에게 무상으로 주식 발행하여 배분함
무소불위,고사성어,3,어떤 제약도 받지 않고 마음대로 휘두르는 권력
무역,경제,2,지방과 지방 사이에 서로 물건을 사고파는 일.
무역국,경제,3,다른 나라와 무역을 하는 나라.
무역상,경제,3,다른 나라와 무역을 하는 장사. 또는 그런 장사를 하는 사람.
무역업,경제,3,다른 나라와의 무역을 전문으로 하는 직업.
무역업자,경제,3,다른 나라와의 무역을 직업으로 하는 사람.
무역품,경제,3,나라와 나라 사이에 사고파는 물품.
무역항,경제,3,다른 나라의 배가 드나들면서 물건을 사고팔 수 있도록 허가를 받은 항구.
무이자,경제,3,이자가 붙지 않음.
무인점포,경제,3,자동판매기를 갖추고 판매원 없이 음료수 등을 파는 가게.
무중력,과학,3,중력이 없음. 또는 중력이 없거나 중력을 느낄 수 없는 상태.
무지개,일상,2,"비가 그쳤을 때, 해의 반대쪽 하늘에 반원 모양으로 나타나는 일곱 가지 색깔의 빛줄기."
무한궤도,과학,4,"탱크, 장갑차, 불도저 등의 바퀴와 같이 둘레에 두꺼운 철판으로 된 벨트를 걸어 만든 바퀴."
문구,일상,1,"노트, 연필 등 공부를 하거나 사무를 보는 데 필요한 도구."
문제,일상,1,답을 요구하는 물음.
문학,일상,2,"시, 소설, 수필, 희곡 등과 같이 사람의 생각이나 감정을 말이나 글로 표현한 예술."
문화,일상,1,"사회의 공동체가 일정한 목적 또는 생활 이상을 실현하기 위하여 만들고, 익히고, 공유하고, 전달하는 물질적, 정신적 활동. 의식주, 언어, 풍습, 종교, 학문, 예술, 제도 등을 모두 포함하는 말."
문화비,경제,3,국가 예산에서 문화나 예술의 발전을 위해 필요로 하는 비용.
물가,경제,2,물건이나 서비스의 평균적인 가격.
물가고,경제,3,물가가 오르는 일. 또는 높이 오른 물가.
물개,일상,2,"몸은 길고 짙은 회색을 띠며, 네 다리는 지느러미처럼 되어 있어 헤엄을 잘 치는 동물."
물고기,일상,1,"물에서 사는, 아가미와 지느러미와 비늘이 있는 척추동물."
물권,경제,3,물건을 직접 지배하여 이익을 얻는 배타적 권리
물리력,과학,3,어떤 일을 해결하기 위해 몸이나 무기 등을 사용하는 강제적인 힘.
물시계,과학,3,물이 일정한 속도로 떨어지는 것을 이용하여 시간을 재는 시계.
물심양면,고사성어,3,물질적으로나 정신적으로나 전폭적인 지원
물장구,일상,2,헤엄칠 때 두 발로 물 위를 잇따라 치는 일.
물적분할,경제,3,회사의 사업부를 떼어내어 자회사를 만드는 것
물주,경제,3,장사 등에서 밑천이나 물자를 대는 사람.
물품,경제,3,쓸모 있게 만들어진 가치 있는 물건.
물화,경제,3,물품과 재화.
뮤지컬,일상,2,"큰 무대에서 음악, 노래, 무용 등을 결합하여 상연하는, 줄거리가 있는 공연물."
미개,과학,2,문명이 발달하지 못한 상태.
미나리,일상,2,축축한 땅에서 자라며 잎과 줄기에 독특한 향기가 있어서 나물 등의 재료로 사용되는 풀.
미납,경제,3,내야 할 돈을 아직 내지 못함.
미납금,경제,3,요금이나 세금 같이 내야 하는데 아직 내지 못한 돈.
미네랄,일상,2,칼슘이나 나트륨과 같이 생물이 살아가는 데 필요한 광물성의 물질.
미성년자,일상,2,아직 성년이 되지 않은 사람.
미소,일상,2,소리 없이 가볍게 웃는 웃음.
미수,경제,3,거두어들여야 할 돈이나 물건 등을 아직 다 거두어들이지 못함. 또는 그러한 돈.
미수거래,경제,3,돈을 빌려 주식을 사는 거래
미수금,경제,3,아직 다 거두어들이지 못한 돈.
미술,일상,2,그림이나 조각처럼 눈으로 볼 수 있는 아름다움을 표현한 예술.
미숫가루,일상,2,"찹쌀, 멥쌀, 보리쌀 등을 찌거나 볶은 다음 가루를 내어 물에 타 먹을 수 있게 만든 먹을거리."
미안,일상,1,남에게 잘못을 하여 마음이 편하지 않고 부끄러움.
미용사,일상,2,다른 사람의 머리를 다듬거나 피부를 가꾸는 일을 직업으로 하는 사람.
미용실,일상,1,"머리를 자르거나 염색, 파마, 화장 등을 해 주는 곳."
미장원,일상,2,"머리를 자르거나 염색, 파마, 화장 등을 해 주는 곳."
미터기,과학,2,"전기, 수도, 가스 등의 소비량을 자동으로 표시하는 기계."
미팅,일상,2,사교를 목적으로 남녀 여러 명이 함께 하는 모임.
미화,경제,3,미국의 화폐.
민들레,일상,2,이른 봄에 노란 꽃을 피우며 흰 털이 있는 씨를 바람에 날려 멀리 퍼지는 여러해살이 식물.
민영,경제,3,민간인이 하는 경영.
민영화,경제,3,국가가 운영하던 기관이나 기업을 민간인이 운영하게 함.
민자,경제,3,민간이나 사기업에서 자본을 대거나 일을 맡음.
민자사업,경제,2,민간 자본으로 공공 시설을 짓는 사업
밀도,과학,2,단위 부피당 물질의 질량
밍크,일상,2,족제비와 비슷하게 생겼으며 털가죽을 고급 외투용으로 쓰는 갈색 동물.
바가지,일상,2,"박을 반으로 쪼개거나 플라스틱 등으로 이와 비슷하게 만들어 액체, 곡물, 가루 등을 푸거나 담는 데 쓰는 둥근 모양의 그릇."
바겐세일,경제,2,일정 기간 동안 특별히 물건을 싸게 파는 일.
바구니,일상,2,"대, 플라스틱 등을 엮어 속이 깊숙하게 만든 그릇."
바나나,일상,1,길고 굽은 모양으로 껍질이 노랗고 잘 벗겨지며 흰 살이 달고 부드러운 열대 과일.
바늘,일상,2,"옷 등을 꿰매거나 만드는 데 쓰는, 쇠로 된 가늘고 끝이 뾰족한 물건."
바닐라,일상,2,열대 식물의 열매에서 짜낸 것으로 과자나 아이스크림에 넣는 향료.
바다,일상,1,지구에서 육지 이외의 부분으로 짠물이 차 있는 곳.
바람개비,일상,2,종이를 여러 갈래로 자르고 끝을 구부려 날개를 만들고 막대에 붙여서 바람을 받으면 돌게 만든 장난감.
바벨,일상,2,"역도나 근육 단련 훈련을 할 때 쓰는, 쇠막대기 양쪽에 무거운 쇳덩이가 달린 운동 기구."
바이러스,과학,2,살아있는 세포 내에서만 증식하는 병원체
바이어,경제,3,다른 나라에서 물건을 사들여 오는 장사. 또는 그런 장사를 하는 사람.
바이올린,일상,1,가운데가 잘록한 타원형 몸통에 네 줄을 매고 활로 줄을 문질러서 소리를 내는 악기.
바자회,경제,3,자선 사업이나 사회사업 등의 자금을 마련하기 위하여 벌이는 시장.
바캉스,일상,2,더위를 피하거나 편안히 쉬려고 가는 휴가.
바코드,경제,3,컴퓨터로 상품을 관리할 수 있도록 상품에 표시해 놓은 줄무늬.
바텐더,일상,2,술집의 카운터에서 주문을 받고 칵테일 등을 만드는 사람.
박물관,일상,1,"유물이나 예술품을 수집, 보관, 전시하여 사람들이 보거나 연구할 수 있게 하는 장소."
박수,일상,1,환영이나 축하 등의 뜻을 나타내거나 박자를 맞추려고 손뼉을 침.
반도체,과학,2,도체와 절연체의 중간 성질을 가진 물질
반독점,경제,3,혼자서 거의 다 차지함. 또는 그런 현상.
반등,경제,3,물가나 주식 등의 가격이 떨어지다가 갑자기 오름.
반려묘,일상,2,가족이나 친구처럼 사람과 더불어 살아가는 고양이.
반사,과학,2,빛이나 전파 등이 다른 물체의 표면에 부딪쳐서 나아가던 방향이 반대 방향으로 바뀌는 현상.
반액,경제,2,정해진 금액의 절반.
반작용,과학,3,어떤 움직임에 대하여 그것을 거스르는 반대의 움직임이 생겨남. 또는 그 움직임.
반제품,경제,3,"완성품을 만들기 위하여 기초 원료를 가공하거나, 모든 제조 과정을 거치지 않고 판매하는 중간 제품."
반품,경제,2,이미 산 물건을 다시 되돌려 보냄. 또는 그 물건.
받아쓰기,일상,1,다른 사람이 말하거나 읽는 것을 듣고 맞춤법에 맞게 옮겨 쓰는 일.
발광체,과학,3,스스로 빛을 내는 물체.
발급,경제,2,기관에서 증명서 등을 만들어 내줌.
발꿈치,일상,2,발의 뒤쪽 끝.
발동기,과학,3,동력을 일으키는 기계.
발매,경제,3,상품을 사람들에게 내놓아 팔거나 상품을 팔려고 내놓음.
발매기,경제,3,돈을 넣으면 자동으로 표나 상품 등을 파는 기계.
발목,일상,2,다리와 발이 서로 이어지는 부분.
발본색원,고사성어,4,뿌리까지 뽑아 근원부터 아예 없애버린다
발사대,과학,3,미사일이나 로켓 등을 쏘기 위하여 고정시켜 놓는 받침대.
발전기,과학,3,운동 에너지나 위치 에너지를 전기 에너지로 바꾸는 기계.
발주,경제,3,공사나 용역 같은 큰 규모의 거래에서 물건이나 서비스 등을 주문함.
발주자,경제,3,공사나 용역 같은 큰 규모의 거래에서 물건이나 서비스 등을 주문하는 사람.
밥상머리,일상,2,차려 놓은 밥상의 한쪽이나 그 가까이.
방사능,과학,3,불안정한 원자핵이 붕괴하며 방사선을 내는 성질
방사성,과학,3,방사선을 방출하며 붕괴하는 성질
방열기,과학,3,뜨거운 액체나 기체에서 나오는 열로 난방을 하는 장치.
방학,일상,1,학교에서 한 학기가 끝나고 정해진 기간 동안 수업을 쉬는 것. 또는 그 기간.
배구,일상,2,직사각형의 코트 가운데에 그물을 두고 공을 땅에 떨어뜨리지 않으면서 손으로 쳐서 상대편에게 넘겨 보내는 경기.
배기,과학,3,안에 든 기체를 밖으로 뽑아냄.
배기통,과학,3,기계 장치에서 쓰지 않는 기체를 밖으로 뽑아내기 위해 설치한 통.
배달부,일상,2,물건이나 음식 등을 가져다 주는 것을 직업으로 하는 사람.
배달원,일상,1,물건이나 음식 등을 가져다 주는 것을 직업으로 하는 사람.
배당,경제,2,기업이 벌어들인 이익을 주주에게 나눠주는 것
배당금,경제,3,일정한 기준에 따라 몫을 정하여 나누어 주는 돈.
배드민턴,일상,1,그물을 사이에 두고 라켓으로 깃털이 달린 공을 쳐서 상대편과 주고 받는 운동 경기.
배려심,일상,2,도와주거나 보살펴 주려는 마음.
배상금,경제,3,남에게 입힌 손해를 물어 주기 위한 돈.
배선,과학,3,전력을 쓰기 위하여 여러 전기 장치에 전선을 알맞게 연결하는 일.
배송,경제,2,어떤 물자를 특정 장소로 보냄.
배송비,경제,2,물건 등을 보내는 데 드는 비용.
배양,과학,3,식물을 기름.
배웅,일상,2,떠나가는 사람을 따라 나가서 작별 인사를 하여 보냄.
배추,일상,1,"길고 둥근 잎이 포개져 자라는, 속은 누런 흰색이고 겉은 녹색이며 김칫거리로 많이 쓰이는 채소."
배탈,일상,1,먹은 음식이 체하거나 설사를 하거나 배가 아프거나 하는 병.
배터리,과학,2,"자동차, 휴대 전화, 시계 등에 필요한 전기를 공급하는 장치."
백신,과학,2,질병 예방을 위해 병원체의 일부를 주입하는 것
밴드,일상,1,가죽이나 천이나 고무 등으로 좁고 길게 만든 띠.
버릇,일상,1,오랫동안 자꾸 반복하여 몸에 익숙해진 성질이나 행동.
버섯,일상,2,그늘지고 물기가 많은 땅이나 썩은 나무에서 자라며 주로 우산처럼 생겼고 음식의 재료로 쓰이는 식물.
버스,일상,1,돈을 받고 정해진 길을 다니며 많은 사람을 실어 나르는 큰 자동차.
버터,일상,2,"주로 빵에 발라 먹거나 요리에 쓰는, 우유에 있는 지방을 굳혀서 만든 노란색의 식품."
번역,일상,2,어떤 언어로 된 글을 다른 언어의 글로 바꾸어 옮김.
번호,일상,1,차례를 나타내거나 서로 다른 것과 구별하기 위해 붙이는 숫자.
벚나무,일상,2,"봄에 연분홍 또는 흰 빛깔의 꽃이 피고, 초여름에는 동그랗고 검은 열매가 익는 키가 큰 나무."
베란다,일상,2,주로 아파트와 같은 서양식 주택에서 튀어나오게 만들어 지붕만 덮고 벽을 만들지 않은 공간.
베이컨,일상,2,돼지고기를 소금에 절여 연기로 익히거나 삶아 말린 식품.
벤젠,과학,2,방향족 탄화수소의 기본이 되는 유기 화합물
벤처,경제,3,첨단의 신기술과 아이디어를 가지고 모험적인 경영을 하는 것. 또는 그러한 기업.
벤처캐피탈,경제,3,유망한 벤처 기업에 투자하는 자본
벤치마킹,경제,3,"기업들이 뛰어난 업체의 상품이나 기술, 경영 방식을 분석하여 응용함. 또는 그런 전략."
벼락부자,일상,2,갑자기 큰돈을 벌거나 얻어 부자가 된 사람.
벼락치기,일상,2,미리 준비하지 않고 일을 앞두고 서둘러서 하는 것.
벼룩시장,경제,2,중고품을 싸게 사고파는 시장.
변액보험,경제,4,보험료 일부를 펀드에 투자하여 성과를 배분하는 보험
변온동물,과학,3,주변 온도에 따라 체온이 변하는 동물
변전소,과학,3,발전소에서 보내오는 높은 전류를 가정이나 공장이 사용할 수 있는 전류로 바꾸어 내보내는 곳.
변호사,일상,1,법적으로 자격을 갖추고 피고나 원고를 변론하며 법률에 관한 일을 전문적으로 하는 사람.
변환,과학,3,원래와 다르게 바뀜. 또는 그렇게 바꿈.
병가상사,고사성어,4,싸움에서 이기거나 지는 것은 흔히 있는 일
병간호,일상,2,아픈 사람을 잘 보살핌.
병문안,일상,1,아픈 사람을 찾아가 위로하는 일.
병원,일상,1,시설을 갖추고 의사와 간호사가 병든 사람을 치료해 주는 기관.
병합,경제,3,둘 이상의 조직이나 나라 등이 하나로 합쳐짐. 또는 그렇게 만듦.
보고서,일상,2,연구하거나 조사한 것의 내용이나 결과를 알리는 문서나 글.
보관료,경제,2,물건을 맡겨 두는 대가로 내는 돈.
보급,과학,3,필요한 물자를 계속해서 대어 줌.
보도블록,일상,2,시멘트나 벽돌 등으로 만들어 사람이 걸어 다니는 길에 까는 덩어리.
보드카,일상,2,알코올이 많이 들어 있는 러시아의 대표적인 술.
보름,일상,2,음력으로 그달의 15일이 되는 날.
보살핌,일상,2,상대방에게 관심과 사랑을 가지고 보호하고 돕는 것.
보상,경제,3,발생한 손실이나 손해를 갚음.
보상금,경제,3,입은 손실이나 손해에 대한 값으로 주는 돈.
보상액,경제,3,남에게 진 빚이나 끼친 손해를 갚는 데 드는 돈의 액수.
보석금,경제,3,피고인을 구치소에 가두지 않고 풀어 줄 때 받는 돈.
보수,경제,2,고마운 일에 대해 보답을 함. 또는 그 보답.
보온,과학,2,따뜻한 온도를 일정하게 유지함.
보온병,일상,2,물이나 음료를 따뜻하게 유지해 주는 병.
보이콧,경제,3,여러 사람이 한마음으로 어떤 일을 받아들이지 않고 거부함.
보장성보험,경제,2,질병이나 사고 시 보험금을 지급하는 보험
보조금,경제,3,정부나 공공 단체가 정책을 펼치거나 특정 산업을 도와주기 위해 기업이나 개인에게 지원해 주는 돈.
보증금,경제,3,돈을 빌릴 때 전체 금액에서 일부를 떼어 돈을 빌려주는 사람에게 담보로 미리 주는 돈.
보증보험,경제,3,계약 이행 등을 보증하는 보험
보증서,경제,3,제품이나 서비스가 틀림이 없음을 증명하거나 계약 등이 확실하게 이루어졌음을 증명하는 서류.
보증인,경제,3,어떤 사람이나 사물에 대하여 틀림이 없음을 증명하고 책임지는 사람.
보험,경제,2,미래의 재해나 질병 등에 대하여 금전적 보상을 받기 위해 정해진 기간 동안 일정한 돈을 납부해 적립해 두는 제도.
보험금,경제,3,"사고가 발생했을 때, 보험 회사가 보험에 가입한 사람에게 주는 돈."
보호무역주의,경제,3,자국 산업 보호를 위해 수입을 규제하는 주의
복덩어리,일상,2,(비유적으로) 복을 가져다주는 매우 귀중한 사람이나 물건.
복룡봉추,고사성어,4,아직 때를 만나지 못한 뛰어난 인재
복리,경제,3,원금에 이자를 더한 합계를 다시 원금으로 따져 계산하는 이자.
복숭아,일상,1,맛이 시거나 달고 굵은 씨가 들어 있으며 분홍색이나 하얀색을 띠는 둥근 여름 과일.
복습,일상,1,배운 것을 다시 공부함.
복식부기,경제,4,자금의 흐름을 차변과 대변으로 나누어 기록하는 방식
본능,일상,2,생물체가 자연적으로 타고나서 하게 되는 동작이나 운동.
본봉,경제,3,전체 임금 중에서 여러 가지 수당이 포함되지 않은 일정한 액수의 급여.
본사,경제,3,곳곳에 지사를 두고 있는 회사의 중심이 되는 사업체.
본원통화,경제,4,중앙은행이 공급하는 현금 및 지급준비금
본전,경제,3,빌려주거나 맡긴 돈에서 이자를 제외한 본디의 돈.
본전치기,경제,3,장사를 하여 밑천으로 들인 돈만을 겨우 건지는 일.
본점,경제,3,"나누어 따로 낸 점포에 대하여, 영업의 중심이 되는 점포."
볼트,과학,2,"두 물체를 죄는 데 쓰는, 육각이나 사각의 머리를 가진 나사."
볼펜,일상,1,펜 끝의 작은 철 구슬이 펜의 움직임에 따라 돌면서 잉크를 내어 쓰도록 된 필기도구.
봅슬레이,일상,2,방향을 조정할 수 있는 강철로 만든 썰매.
봉급,경제,3,일정한 직장에서 일의 대가로 받는 정기적인 보수.
봉사료,경제,2,남을 위하여 일하거나 시중을 든 대가로 받거나 주는 돈.
봉투,일상,1,편지나 서류 등을 넣기 위해 종이로 만든 주머니.
부가가치세,경제,2,재화나 서비스 생산 과정에서 생기는 가치에 부과하는 세금
부과,경제,3,세금이나 벌금 등을 매겨서 내게 함.
부과금,경제,3,액수를 매겨서 세금이나 벌금 등으로 물리는 돈.
부금,경제,3,빚을 갚거나 저축을 하려고 일정 기간 동안 내는 돈.
부담금,경제,3,어떤 일에 책임을 지고 내야 하는 돈.
부담액,경제,3,어떤 일에 대해 내야 하는 돈의 액수.
부도,경제,3,수표나 어음에 적힌 금액을 기한 안에 받지 못하는 일.
부동산,일상,2,땅이나 건물과 같이 움직여 옮길 수 없는 재산.
부동산실명제,경제,2,본인 명의로만 부동산을 등기하게 하는 제도
부수입,경제,3,본래 하는 일이 아닌 다른 일을 해서 버는 돈.
부양의무자,경제,3,부양할 의무가 있는 사람
부엌,일상,1,집에서 음식을 만들고 설거지를 하는 등 식사와 관련된 일을 하는 장소.
부의금,경제,3,장례를 치르는 집을 돕기 위하여 주는 돈.
부익부,경제,3,부자는 더욱 부자가 됨.
부자,일상,1,재산이 많은 사람.
부작용,일상,2,"어떤 일로 인해 일어난, 기대하지 않았던 바람직하지 못한 일."
부조,경제,3,잔칫집이나 상을 당한 집에 돈이나 물건을 보내어 도움. 또는 그런 돈이나 물건.
부조금,경제,3,잔칫집이나 상을 당한 집에 도와주려고 내는 돈.
부채,경제,3,다른 사람이나 기관으로부터 빌려 쓰고 갚지 않은 돈.
부케,일상,2,결혼식에서 신부가 손에 드는 작은 꽃다발.
부피,과학,2,물질이 차지하고 있는 공간의 크기
부하,과학,3,원동기에서 나오는 에너지를 소비하는 것. 또는 이때 소비되는 에너지.
부호,경제,3,재산이 많고 권력이 있는 사람.
부화뇌동,고사성어,4,주관 없이 남의 말이나 행동에 덩달아 따라 한다
북두칠성,일상,2,북쪽 하늘에 국자 모양으로 뚜렷하게 빛나는 일곱 개의 별.
분광기,과학,3,빛을 파장별로 나누어 스펙트럼을 관찰하는 기구
분류과세,경제,3,소득을 합치지 않고 별도로 세율을 적용하는 방식
분리과세,경제,3,다른 소득과 합산하지 않고 원천징수하는 세금
분수대,일상,2,좁은 구멍을 통해서 물을 위로 내뿜도록 만들어 놓은 시설.
분식,일상,1,밀가루로 만든 음식.
분식회계,경제,3,기업이 장부를 조작하여 실적을 부풀리는 행위
분양,경제,3,많은 것이나 큰 것을 갈라서 여럿에게 넘겨줌.
분양가,경제,3,토지나 건물 등을 각각 나누어 파는 값.
분양권,경제,3,토지나 건물 등을 살 수 있는 권리.
분위기,일상,1,어떤 자리나 장면에서 느껴지는 기분.
분자,과학,3,어떤 물질의 화학적 형태와 성질을 띠고 있는 가장 작은 알갱이.
분자량,과학,4,분자 1몰의 질량을 탄소 12를 기준으로 나타낸 수치
분자식,과학,3,분자를 구성하는 원자의 종류와 수를 나타낸 식
분점,경제,3,본점에서 본점과 비슷하게 다른 곳에 따로 낸 점포.
분해,과학,3,여러 부분으로 이루어진 것을 그 부분이나 성분으로 따로따로 나눔.
불경기,경제,3,"사회의 경제 활동이 활발하지 않아, 물가와 임금이 내리고 생산이 줄어들며 실업이 늘어나는 상태."
불량품,경제,3,품질이나 상태가 나쁜 물건.
불매,경제,3,상품 등을 사지 않음.
불이익,경제,2,이익이 되지 않고 손해가 됨.
불입,경제,3,"세금, 등록금, 보험금 등을 관계 기관에 냄. 또는 그런 일."
불입금,경제,3,"세금, 등록금, 보험금 등과 같이 관계 기관에 내는 돈."
불입액,경제,3,"세금, 등록금, 보험금 등과 같이 관계 기관에 내는 돈."
불하,경제,3,국가 또는 공공 단체의 재산을 개인에게 팔아넘기는 일.
불합격,일상,2,시험 등에 떨어짐.
불황,경제,3,"사회의 경제 활동이 활발하지 않아, 물가와 임금이 내리고 생산이 줄어들며 실업이 늘어나는 상태."
뷔페,일상,2,여러 가지 음식을 차려 놓고 손님이 스스로 선택하여 덜어 먹을 수 있도록 한 식당.
브랜드,경제,3,상품의 이름.
브렉시트,경제,3,영국의 유럽연합 탈퇴
브로콜리,일상,2,꽃 부분과 줄기로 이루어진 녹색 채소.
블랙스완,경제,3,발생 가능성은 낮지만 발생하면 큰 파장을 주는 사건
블랙컨슈머,경제,3,기업에 악의적인 민원을 제기하는 소비자
블랙홀,과학,3,거대한 밀도와 중력을 가져 빛을 포함한 주변의 모든 것을 끌어들이는 천체.
블루오션,경제,3,경쟁자가 없는 유망한 시장
블루칩,경제,3,수익성과 안정성이 높은 우량주
비과세,경제,3,세금을 매기지 않음.
비과학적,과학,2,과학의 내용이나 체계를 근거로 하지 않는 것.
비교우위,경제,3,상대적으로 적은 비용으로 생산할 수 있는 능력
비누,일상,1,물을 묻혀서 거품을 내어 몸이나 옷에 묻은 때를 씻는 데 쓰는 물건.
비밀번호,일상,2,은행 계좌나 컴퓨터 등에서 보안을 위하여 남이 알 수 없도록 만들어 쓰는 번호.
비상구,일상,2,갑작스러운 사고가 생겼을 때 급히 밖으로 나갈 수 있도록 만들어 놓은 출입구.
비용,경제,2,어떤 일을 하는 데 드는 돈.
비자금,경제,3,세금 추적을 할 수 없도록 특별히 관리하여 둔 돈.
비정규직근로자,경제,2,고용 기간이 정해진 근로자
비즈니스,일상,2,일정한 목적에 의하여 계획을 세우고 어떤 일을 경영해 나가는 것. 또는 그 일.
